trip_id,carrier_name,vehicle_id,customer_name,origin,destination,lane_id,planned_departure,promised_arrival,delivered_time
WL-004,Red Sea Haulage,VH-304,GCC Demo Foods,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:10:00Z
WL-005,Red Sea Haulage,VH-305,GCC Demo Retail,Jeddah DC,Makkah Store,JED-MAK,2026-06-03T03:00:00Z,2026-06-03T07:00:00Z,2026-06-03T07:40:00Z
POD-001,Peninsula Cargo,VH-401,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:05:00Z
POD-002,Peninsula Cargo,VH-402,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:10:00Z
POD-003,Peninsula Cargo,VH-403,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:05:00Z
POD-004,Peninsula Cargo,VH-404,GCC Demo Retail,Riyadh DC,Riyadh North,RUH-RUH,2026-06-03T04:00:00Z,2026-06-03T06:00:00Z,2026-06-03T06:00:00Z
POD-005,Peninsula Cargo,VH-405,GCC Demo Retail,Jeddah DC,Makkah Store,JED-MAK,2026-06-03T03:00:00Z,2026-06-03T07:00:00Z,2026-06-03T07:00:00Z
INV-001,Invoice Hold Express,VH-501,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:10:00Z
INV-002,Invoice Hold Express,VH-502,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:20:00Z
INV-003,Invoice Hold Express,VH-503,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:30:00Z
DET-001,Dock Time Logistics,VH-601,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:10:00Z
DET-002,Dock Time Logistics,VH-602,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:10:00Z
DET-003,Dock Time Logistics,VH-603,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:10:00Z
UPD-001,Signal Gap Transport,VH-701,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:00:00Z
UPD-002,Signal Gap Transport,VH-702,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
UPD-003,Signal Gap Transport,VH-703,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
FUEL-001,Fuel Review Fleet,VH-801,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:00:00Z
FUEL-002,Fuel Review Fleet,VH-802,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
FUEL-003,Fuel Review Fleet,VH-803,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
BAN-001,City Window Movers,VH-901,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:00:00Z
BAN-002,City Window Movers,VH-902,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
BAN-003,City Window Movers,VH-903,GCC Demo Retail,Dubai DC,Abu Dhabi Store,DXB-AUH,2026-06-02T04:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z
LOW-001,New Route Pilot,VH-1001,GCC Demo Retail,Riyadh DC,Dammam Store,RUH-DMM,2026-06-01T04:00:00Z,2026-06-01T10:00:00Z,2026-06-01T10:30:00Z
LOW-002,New Route Pilot,VH-1002,GCC Demo Retail,Dammam DC,Khobar Store,DMM-KHO,2026-06-02T05:00:00Z,2026-06-02T08:00:00Z,2026-06-02T08:30:00Z
